From,To,Count
2020-05-01,2020-06-01,291
2020-06-01,2020-07-01,57
2020-07-01,2020-08-01,47
2020-08-01,2020-09-01,315
2020-09-01,2020-10-01,263
2020-10-01,2020-11-01,340
2020-11-01,2020-12-01,400
2020-12-01,2021-01-01,253
2021-01-01,2021-02-01,533
2021-02-01,2021-03-01,614
2021-03-01,2021-04-01,567
2021-04-01,2021-05-01,396
2021-05-01,2021-06-01,353
2021-06-01,2021-07-01,127
2021-07-01,2021-08-01,278
2021-08-01,2021-09-01,377
2021-09-01,2021-10-01,993
2021-10-01,2021-11-01,979
2021-11-01,2021-12-01,451
2021-12-01,2022-01-01,461
2022-01-01,2022-02-01,453
2022-02-01,2022-03-01,359
2022-03-01,2022-04-01,473
2022-04-01,2022-05-01,504
2022-05-01,2022-06-01,386
2022-06-01,2022-07-01,323
2022-07-01,2022-08-01,264
2022-08-01,2022-09-01,593
2022-09-01,2022-10-01,1233
2022-10-01,2022-11-01,483
2022-11-01,2022-12-01,598
2022-12-01,2023-01-01,440
2023-01-01,2023-02-01,566
2023-02-01,2023-03-01,479
2023-03-01,2023-04-01,471
2023-04-01,2023-05-01,352
2023-05-01,2023-06-01,788
2023-06-01,2023-07-01,516
2023-07-01,2023-08-01,330
2023-08-01,2023-09-01,347
